Month,sunburn
2004-01,5
2004-02,0
2004-03,4
2004-04,9
2004-05,16
2004-06,14
2004-07,7
2004-08,9
2004-09,7
2004-10,2
2004-11,5
2004-12,4
2005-01,2
2005-02,6
2005-03,5
2005-04,4
2005-05,7
2005-06,22
2005-07,19
2005-08,10
2005-09,3
2005-10,1
2005-11,2
2005-12,2
2006-01,1
2006-02,2
2006-03,4
2006-04,5
2006-05,4
2006-06,19
2006-07,16
2006-08,5
2006-09,2
2006-10,2
2006-11,3
2006-12,2
2007-01,2
2007-02,2
2007-03,4
2007-04,5
2007-05,5
2007-06,10
2007-07,6
2007-08,9
2007-09,4
2007-10,2
2007-11,2
2007-12,3
2008-01,4
2008-02,4
2008-03,3
2008-04,5
2008-05,11
2008-06,13
2008-07,13
2008-08,3
2008-09,3
2008-10,2
2008-11,2
2008-12,2
2009-01,3
2009-02,2
2009-03,3
2009-04,6
2009-05,14
2009-06,23
2009-07,11
2009-08,7
2009-09,4
2009-10,2
2009-11,2
2009-12,3
2010-01,2
2010-02,1
2010-03,3
2010-04,6
2010-05,24
2010-06,17
2010-07,13
2010-08,5
2010-09,4
2010-10,2
2010-11,2
2010-12,3
2011-01,3
2011-02,4
2011-03,5
2011-04,15
2011-05,8
2011-06,25
2011-07,26
2011-08,12
2011-09,8
2011-10,7
2011-11,5
2011-12,8
2012-01,6
2012-02,5
2012-03,9
2012-04,8
2012-05,49
2012-06,16
2012-07,27
2012-08,16
2012-09,7
2012-10,4
2012-11,5
2012-12,5
2013-01,4
2013-02,4
2013-03,5
2013-04,12
2013-05,24
2013-06,41
2013-07,76
2013-08,14
2013-09,6
2013-10,3
2013-11,4
2013-12,3
2014-01,4
2014-02,4
2014-03,5
2014-04,9
2014-05,24
2014-06,43
2014-07,41
2014-08,12
2014-09,5
2014-10,4
2014-11,4
2014-12,3
2015-01,4
2015-02,3
2015-03,5
2015-04,14
2015-05,15
2015-06,40
2015-07,42
2015-08,19
2015-09,7
2015-10,4
2015-11,2
2015-12,4
2016-01,4
2016-02,4
2016-03,6
2016-04,11
2016-05,31
2016-06,44
2016-07,60
2016-08,30
2016-09,8
2016-10,3
2016-11,3
2016-12,4
2017-01,3
2017-02,4
2017-03,6
2017-04,23
2017-05,43
2017-06,86
2017-07,44
2017-08,20
2017-09,9
2017-10,4
2017-11,3
2017-12,3
2018-01,4
2018-02,5
2018-03,5
2018-04,22
2018-05,55
2018-06,66
2018-07,72
2018-08,23
2018-09,7
2018-10,4
2018-11,4
2018-12,3
2019-01,4
2019-02,6
2019-03,7
2019-04,20
2019-05,30
2019-06,51
2019-07,66
2019-08,25
2019-09,10
2019-10,5
2019-11,4
2019-12,5
2020-01,5
2020-02,5
2020-03,5
2020-04,27
2020-05,64
2020-06,53
2020-07,29
2020-08,32
2020-09,7
2020-10,4
2020-11,3
2020-12,3
2021-01,4
2021-02,3
2021-03,5
2021-04,24
2021-05,33
2021-06,100
2021-07,73
2021-08,17
2021-09,8
2021-10,4
2021-11,3
2021-12,3
2022-01,4
2022-02,5
2022-03,9
2022-04,17
2022-05,28
2022-06,67
2022-07,77
2022-08,41
2022-09,11
2022-10,5
2022-11,4
2022-12,4
2023-01,5
